"Excel-rij";"Controleprioriteit";"Medewerker";"Medewerkernummer";"Team";"Deskundigheid";"Escalatie reden";"Doeltype";"Cliënt/doel";"Doel-ID";"Hoofdlocatie";"Gestart op";"Geactiveerd op";"Signalen";"Her-escalatie sinds activatie (min.)";"Activatievertraging (min.)"
"1881";"Hoog";"Synthetische medewerker 110";"SYN-M-0110";"Synthetisch team Oost";"Nachtdienst";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0476";"SYN-C-00476";"Synthetische hoofdlocatie 002";"19-05-2026, 05:14:03";"19-05-2026, 04:52:03";"NACHT; VEEL_MEDEWERKERS_CLIENT; ONGELDIGE_ACTIVATIE";"";"-22"
"103";"Hoog";"Synthetische medewerker 075";"SYN-M-0075";"Synthetisch team West";"Synthetische deskundigheid";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0579";"SYN-C-00579";"Synthetische hoofdlocatie 005";"19-05-2026, 05:40:39";"19-05-2026, 06:48:39";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"68"
"1843";"Hoog";"Synthetische medewerker 058";"SYN-M-0058";"Synthetisch team Oost";"Nachtdienst";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0399";"SYN-C-00399";"Synthetische hoofdlocatie 025";"20-05-2026, 02:40:25";"20-05-2026, 03:23:25";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"43"
"784";"Hoog";"Synthetische medewerker 122";"SYN-M-0122";"Synthetisch team Oost";"Nachtdienst";"Acute ondersteuning buiten het vaste team";"Cliënt";"";"";"Synthetische hoofdlocatie 022";"20-05-2026, 05:30:09";"20-05-2026, 05:38:09";"NACHT; LATE_ACTIVATIE; ONVOLLEDIG_CLIENTDOEL";"";"8"
"947";"Hoog";"Synthetische medewerker 081";"SYN-M-0081";"Synthetisch team Noord";"Begeleiding";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0526";"SYN-C-00526";"Synthetische hoofdlocatie 002";"21-05-2026, 01:49:10";"21-05-2026, 02:23:10";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"34"
"1940";"Hoog";"Synthetische medewerker 112";"SYN-M-0112";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0222";"SYN-C-00222";"Synthetische hoofdlocatie 023";"21-05-2026, 03:28:57";"21-05-2026, 05:18:57";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"110"
"1474";"Hoog";"Synthetische medewerker 146";"SYN-M-0146";"Synthetisch team Oost";"Nachtdienst";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0415";"SYN-C-00415";"Synthetische hoofdlocatie 016";"21-05-2026, 04:06:02";"21-05-2026, 06:01:02";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"115"
"397";"Hoog";"Synthetische medewerker 034";"SYN-M-0034";"Synthetisch team Oost";"Nachtdienst";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0293";"SYN-C-00293";"Synthetische hoofdlocatie 019";"21-05-2026, 04:14:58";"21-05-2026, 05:16:58";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"62"
"671";"Hoog";"Synthetische medewerker 133";"SYN-M-0133";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0521";"SYN-C-00521";"Synthetische hoofdlocatie 022";"21-05-2026, 05:34:44";"21-05-2026, 06:18:44";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"44"
"1755";"Hoog";"Synthetische medewerker 059";"SYN-M-0059";"Synthetisch team West";"Synthetische deskundigheid";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0243";"SYN-C-00243";"Synthetische hoofdlocatie 019";"21-05-2026, 23:37:58";"21-05-2026, 23:49:58";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"12"
"1280";"Hoog";"Synthetische medewerker 030";"SYN-M-0030";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0148";"SYN-C-00148";"Synthetische hoofdlocatie 024";"22-05-2026, 00:09:53";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT";"";""
"1001";"Hoog";"Synthetische medewerker 145";"SYN-M-0145";"Synthetisch team Noord";"Begeleiding";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0136";"SYN-C-00136";"Synthetische hoofdlocatie 012";"22-05-2026, 03:22:41";"22-05-2026, 04:49:41";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"87"
"696";"Hoog";"Synthetische medewerker 060";"SYN-M-0060";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0101";"SYN-C-00101";"Synthetische hoofdlocatie 002";"22-05-2026, 03:49:59";"22-05-2026, 04:51:59";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"62"
"352";"Hoog";"Synthetische medewerker 012";"SYN-M-0012";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0317";"SYN-C-00317";"Synthetische hoofdlocatie 018";"22-05-2026, 04:21:32";"22-05-2026, 04:41:32";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"20"
"319";"Hoog";"Synthetische medewerker 131";"SYN-M-0131";"Synthetisch team West";"Synthetische deskundigheid";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0527";"SYN-C-00527";"Synthetische hoofdlocatie 003";"22-05-2026, 05:29:47";"22-05-2026, 06:59:47";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"90"
"944";"Hoog";"Synthetische medewerker 047";"SYN-M-0047";"Synthetisch team West";"Synthetische deskundigheid";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0264";"SYN-C-00264";"Synthetische hoofdlocatie 015";"22-05-2026, 23:30:54";"23-05-2026, 00:53:54";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"83"
"1368";"Hoog";"Synthetische medewerker 101";"SYN-M-0101";"Synthetisch team Noord";"Begeleiding";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0328";"SYN-C-00328";"Synthetische hoofdlocatie 004";"22-05-2026, 23:39:39";"23-05-2026, 00:06:39";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"27"
"1214";"Hoog";"Synthetische medewerker 116";"SYN-M-0116";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0506";"SYN-C-00506";"Synthetische hoofdlocatie 007";"23-05-2026, 00:56:10";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_TEAMS_CLIENT";"";""
"1524";"Hoog";"Synthetische medewerker 156";"SYN-M-0156";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0303";"SYN-C-00303";"Synthetische hoofdlocatie 004";"23-05-2026, 01:48:04";"23-05-2026, 01:47:04";"NACHT; VEEL_TEAMS_CLIENT; ONGELDIGE_ACTIVATIE";"";"-1"
"351";"Hoog";"Synthetische medewerker 065";"SYN-M-0065";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0089";"SYN-C-00089";"Synthetische hoofdlocatie 015";"23-05-2026, 02:01:13";"23-05-2026, 03:20:13";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"79"
"1619";"Hoog";"Synthetische medewerker 211";"SYN-M-0211";"Synthetisch team West";"Synthetische deskundigheid";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0044";"SYN-C-00044";"Synthetische hoofdlocatie 020";"23-05-2026, 02:45:50";"23-05-2026, 03:04:50";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"19"
"66";"Hoog";"Synthetische medewerker 047";"SYN-M-0047";"Synthetisch team West";"Synthetische deskundigheid";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0595";"SYN-C-00595";"Synthetische hoofdlocatie 021";"23-05-2026, 03:29:28";"23-05-2026, 04:01:28";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"32"
"740";"Hoog";"Synthetische medewerker 046";"SYN-M-0046";"Synthetisch team Oost";"Nachtdienst";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0526";"SYN-C-00526";"Synthetische hoofdlocatie 002";"23-05-2026, 03:36:00";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT";"";""
"1473";"Hoog";"Synthetische medewerker 106";"SYN-M-0106";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0539";"SYN-C-00539";"Synthetische hoofdlocatie 015";"23-05-2026, 03:40:08";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT";"";""
"1909";"Hoog";"Synthetische medewerker 219";"SYN-M-0219";"Synthetisch team West";"Synthetische deskundigheid";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0353";"SYN-C-00353";"Synthetische hoofdlocatie 004";"24-05-2026, 00:35:50";"24-05-2026, 00:55:50";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"20"
"439";"Hoog";"Synthetische medewerker 217";"SYN-M-0217";"Synthetisch team Noord";"Begeleiding";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0442";"SYN-C-00442";"Synthetische hoofdlocatie 018";"24-05-2026, 01:26:53";"24-05-2026, 01:53:53";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"27"
"1073";"Hoog";"Synthetische medewerker 128";"SYN-M-0128";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0106";"SYN-C-00106";"Synthetische hoofdlocatie 007";"24-05-2026, 03:13:17";"24-05-2026, 03:57:17";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"44"
"127";"Hoog";"Synthetische medewerker 242";"SYN-M-0242";"Synthetisch team Oost";"Nachtdienst";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"";"";"Synthetische hoofdlocatie 019";"25-05-2026, 00:29:40";"25-05-2026, 01:25:40";"NACHT; LATE_ACTIVATIE; ONVOLLEDIG_CLIENTDOEL";"";"56"
"518";"Hoog";"Synthetische medewerker 138";"SYN-M-0138";"Synthetisch team Oost";"Nachtdienst";"Controle na overdracht van zorg";"Cliënt";"";"";"Synthetische hoofdlocatie 018";"25-05-2026, 01:01:27";"25-05-2026, 01:43:27";"NACHT; LATE_ACTIVATIE; ONVOLLEDIG_CLIENTDOEL";"";"42"
"442";"Hoog";"Synthetische medewerker 242";"SYN-M-0242";"Synthetisch team Oost";"Nachtdienst";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0489";"SYN-C-00489";"Synthetische hoofdlocatie 015";"25-05-2026, 05:32:01";"25-05-2026, 06:52:01";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"80"
"1243";"Hoog";"Synthetische medewerker 233";"SYN-M-0233";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0506";"SYN-C-00506";"Synthetische hoofdlocatie 007";"26-05-2026, 01:12:49";"26-05-2026, 01:19:49";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"7"
"608";"Hoog";"Synthetische medewerker 091";"SYN-M-0091";"Synthetisch team West";"Synthetische deskundigheid";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0510";"SYN-C-00510";"Synthetische hoofdlocatie 011";"26-05-2026, 04:55:20";"26-05-2026, 06:46:20";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"111"
"756";"Hoog";"Synthetische medewerker 142";"SYN-M-0142";"Synthetisch team Oost";"Nachtdienst";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0303";"SYN-C-00303";"Synthetische hoofdlocatie 004";"26-05-2026, 04:56:23";"26-05-2026, 06:34:23";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"98"
"741";"Hoog";"Synthetische medewerker 205";"SYN-M-0205";"Synthetisch team Noord";"Begeleiding";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"";"";"Synthetische hoofdlocatie 018";"27-05-2026, 03:25:40";"27-05-2026, 05:12:40";"NACHT; LATE_ACTIVATIE; ONVOLLEDIG_CLIENTDOEL";"";"107"
"702";"Hoog";"Synthetische medewerker 199";"SYN-M-0199";"Synthetisch team West";"Synthetische deskundigheid";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0457";"SYN-C-00457";"Synthetische hoofdlocatie 008";"27-05-2026, 03:35:35";"27-05-2026, 04:32:35";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"57"
"417";"Hoog";"Synthetische medewerker 153";"SYN-M-0153";"Synthetisch team Noord";"Begeleiding";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0545";"SYN-C-00545";"Synthetische hoofdlocatie 021";"27-05-2026, 04:43:05";"27-05-2026, 05:59:05";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"76"
"1570";"Hoog";"Synthetische medewerker 081";"SYN-M-0081";"Synthetisch team Noord";"Begeleiding";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0114";"SYN-C-00114";"Synthetische hoofdlocatie 015";"27-05-2026, 23:04:41";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT";"";""
"92";"Hoog";"Synthetische medewerker 063";"SYN-M-0063";"Synthetisch team West";"Synthetische deskundigheid";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0255";"SYN-C-00255";"Synthetische hoofdlocatie 006";"28-05-2026, 04:48:40";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT";"";""
"932";"Hoog";"Synthetische medewerker 181";"SYN-M-0181";"Synthetisch team Noord";"Begeleiding";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0243";"SYN-C-00243";"Synthetische hoofdlocatie 019";"28-05-2026, 23:40:01";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_TEAMS_CLIENT";"";""
"129";"Hoog";"Synthetische medewerker 242";"SYN-M-0242";"Synthetisch team Oost";"Nachtdienst";"Controle na overdracht van zorg";"Cliënt";"";"";"Synthetische hoofdlocatie 025";"29-05-2026, 00:14:08";"29-05-2026, 00:21:08";"NACHT; LATE_ACTIVATIE; ONVOLLEDIG_CLIENTDOEL";"";"7"
"1737";"Hoog";"Synthetische medewerker 054";"SYN-M-0054";"Synthetisch team Oost";"Nachtdienst";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0463";"SYN-C-00463";"Synthetische hoofdlocatie 014";"29-05-2026, 00:39:52";"29-05-2026, 01:53:52";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"74"
"1814";"Hoog";"Synthetische medewerker 004";"SYN-M-0004";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0328";"SYN-C-00328";"Synthetische hoofdlocatie 004";"29-05-2026, 03:42:07";"29-05-2026, 05:31:07";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"109"
"125";"Hoog";"Synthetische medewerker 190";"SYN-M-0190";"Synthetisch team Oost";"Nachtdienst";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0146";"SYN-C-00146";"Synthetische hoofdlocatie 022";"29-05-2026, 03:52:04";"29-05-2026, 04:08:04";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"16"
"1382";"Hoog";"Synthetische medewerker 173";"SYN-M-0173";"Synthetisch team Noord";"Begeleiding";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0182";"SYN-C-00182";"Synthetische hoofdlocatie 008";"29-05-2026, 04:09:14";"29-05-2026, 05:56:14";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"107"
"1868";"Hoog";"Synthetische medewerker 126";"SYN-M-0126";"Synthetisch team Oost";"Nachtdienst";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0457";"SYN-C-00457";"Synthetische hoofdlocatie 008";"29-05-2026, 23:11:30";"30-05-2026, 01:00:30";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"109"
"1761";"Hoog";"Synthetische medewerker 247";"SYN-M-0247";"Synthetisch team West";"Synthetische deskundigheid";"Acute ondersteuning buiten het vaste team";"Cliënt";"Synthetische cliënt 0233";"SYN-C-00233";"Synthetische hoofdlocatie 009";"31-05-2026, 02:41:42";"31-05-2026, 04:30:42";"NACHT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"109"
"1713";"Hoog";"Synthetische medewerker 062";"SYN-M-0062";"Synthetisch team Oost";"Nachtdienst";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0591";"SYN-C-00591";"Synthetische hoofdlocatie 017";"31-05-2026, 05:33:46";"31-05-2026, 06:57:46";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"84"
"927";"Hoog";"Synthetische medewerker 091";"SYN-M-0091";"Synthetisch team West";"Synthetische deskundigheid";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0036";"SYN-C-00036";"Synthetische hoofdlocatie 012";"31-05-2026, 23:26:39";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_TEAMS_CLIENT";"";""
"1639";"Hoog";"Synthetische medewerker 220";"SYN-M-0220";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0222";"SYN-C-00222";"Synthetische hoofdlocatie 023";"31-05-2026, 23:33:15";"Niet geactiveerd";"NIET_GEACTIVEERD; NACHT; VEEL_MEDEWERKERS_CLIENT";"";""
"1478";"Hoog";"Synthetische medewerker 175";"SYN-M-0175";"Synthetisch team West";"Synthetische deskundigheid";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0156";"SYN-C-00156";"Synthetische hoofdlocatie 007";"31-05-2026, 23:46:18";"31-05-2026, 23:53:18";"NACHT; VEEL_MEDEWERKERS_CLIENT; LATE_ACTIVATIE";"";"7"
"641";"Midden";"Synthetische medewerker 199";"SYN-M-0199";"Synthetisch team West";"Synthetische deskundigheid";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0070";"SYN-C-00070";"Synthetische hoofdlocatie 021";"01-05-2026, 07:11:51";"01-05-2026, 08:59:51";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"108"
"1911";"Midden";"Synthetische medewerker 216";"SYN-M-0216";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0461";"SYN-C-00461";"Synthetische hoofdlocatie 012";"01-05-2026, 07:20:59";"01-05-2026, 08:04:59";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"44"
"1386";"Midden";"Synthetische medewerker 110";"SYN-M-0110";"Synthetisch team Oost";"Nachtdienst";"Controle na overdracht van zorg";"Cliënt";"Synthetische cliënt 0382";"SYN-C-00382";"Synthetische hoofdlocatie 008";"01-05-2026, 07:29:35";"01-05-2026, 08:59:35";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"90"
"627";"Midden";"Synthetische medewerker 086";"SYN-M-0086";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0568";"SYN-C-00568";"Synthetische hoofdlocatie 019";"01-05-2026, 07:57:53";"01-05-2026, 09:45:53";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"108"
"1921";"Midden";"Synthetische medewerker 190";"SYN-M-0190";"Synthetisch team Oost";"Nachtdienst";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0218";"SYN-C-00218";"Synthetische hoofdlocatie 019";"01-05-2026, 08:11:08";"01-05-2026, 09:21:08";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"70"
"1590";"Midden";"Synthetische medewerker 093";"SYN-M-0093";"Synthetisch team Noord";"Begeleiding";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0319";"SYN-C-00319";"Synthetische hoofdlocatie 020";"01-05-2026, 12:02:58";"01-05-2026, 12:38:58";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"36"
"1757";"Midden";"Synthetische medewerker 061";"SYN-M-0061";"Synthetisch team Noord";"Begeleiding";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0301";"SYN-C-00301";"Synthetische hoofdlocatie 002";"01-05-2026, 12:07:56";"01-05-2026, 13:17:56";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"70"
"665";"Midden";"Synthetische medewerker 158";"SYN-M-0158";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0588";"SYN-C-00588";"Synthetische hoofdlocatie 014";"01-05-2026, 13:35:52";"01-05-2026, 15:00:52";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"85"
"775";"Midden";"Synthetische medewerker 098";"SYN-M-0098";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0319";"SYN-C-00319";"Synthetische hoofdlocatie 020";"01-05-2026, 14:11:37";"01-05-2026, 16:02:37";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"111"
"1020";"Midden";"Synthetische medewerker 176";"SYN-M-0176";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0201";"SYN-C-00201";"Synthetische hoofdlocatie 002";"01-05-2026, 15:59:33";"01-05-2026, 17:06:33";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"67"
"139";"Midden";"Synthetische medewerker 073";"SYN-M-0073";"Synthetisch team Noord";"Begeleiding";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0049";"SYN-C-00049";"Synthetische hoofdlocatie 025";"01-05-2026, 19:36:31";"01-05-2026, 20:36:31";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"60"
"697";"Midden";"Synthetische medewerker 040";"SYN-M-0040";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0213";"SYN-C-00213";"Synthetische hoofdlocatie 014";"01-05-2026, 19:48:42";"01-05-2026, 21:41:42";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"113"
"1344";"Midden";"Synthetische medewerker 213";"SYN-M-0213";"Synthetisch team Noord";"Begeleiding";"Tijdelijke vervanging binnen het testrooster";"Cliënt";"Synthetische cliënt 0588";"SYN-C-00588";"Synthetische hoofdlocatie 014";"02-05-2026, 07:23:27";"02-05-2026, 07:58:27";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"35"
"872";"Midden";"Synthetische medewerker 038";"SYN-M-0038";"Synthetisch team Oost";"Nachtdienst";"Synthetische reden voor geautomatiseerde layoutcontrole";"Cliënt";"Synthetische cliënt 0118";"SYN-C-00118";"Synthetische hoofdlocatie 019";"02-05-2026, 08:01:48";"02-05-2026, 08:49:48";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"48"
"1345";"Midden";"Synthetische medewerker 182";"SYN-M-0182";"Synthetisch team Oost";"Nachtdienst";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0361";"SYN-C-00361";"Synthetische hoofdlocatie 012";"02-05-2026, 11:43:38";"02-05-2026, 12:50:38";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"67"
"57";"Midden";"Synthetische medewerker 188";"SYN-M-0188";"Synthetisch testteam met lange naam";"Verpleegkundige testfunctie";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0348";"SYN-C-00348";"Synthetische hoofdlocatie 024";"02-05-2026, 12:24:11";"02-05-2026, 13:01:11";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"37"
"1438";"Midden";"Synthetische medewerker 193";"SYN-M-0193";"Synthetisch team Noord";"Begeleiding";"Voorbereiding van een geplande synthetische handeling";"Cliënt";"Synthetische cliënt 0556";"SYN-C-00556";"Synthetische hoofdlocatie 007";"02-05-2026, 12:52:29";"02-05-2026, 13:55:29";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"63"
"1370";"Midden";"Synthetische medewerker 059";"SYN-M-0059";"Synthetisch team West";"Synthetische deskundigheid";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0128";"SYN-C-00128";"Synthetische hoofdlocatie 004";"02-05-2026, 18:00:36";"02-05-2026, 18:35:36";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"35"
"1816";"Midden";"Synthetische medewerker 135";"SYN-M-0135";"Synthetisch team West";"Synthetische deskundigheid";"Ondersteuning tijdens avond- of nachtdienst";"Cliënt";"Synthetische cliënt 0467";"SYN-C-00467";"Synthetische hoofdlocatie 018";"02-05-2026, 18:53:13";"02-05-2026, 19:49:13";"VEEL_MEDEWERKERS_CLIENT; VEEL_TEAMS_CLIENT; LATE_ACTIVATIE";"";"56"
